date,open,high,low,close
2023-06-16,13160.8800,13166.4700,13062.0000,13115.7300
2023-06-19,13115.7300,13115.7300,13023.2500,13087.3300
2023-06-20,13087.3300,13087.3300,12953.1700,12999.1200
2023-06-21,12999.1200,13033.1900,12921.5500,12982.5900
2023-06-26,12982.5900,12982.5900,12839.8700,12858.7700
2023-06-27,12858.7700,12858.7700,12755.4900,12766.3800
2023-06-28,12766.3800,12862.6900,12764.5300,12800.3700
2023-06-29,12800.3700,12898.0000,12731.8400,12762.1400
2023-06-30,12762.1400,12762.1400,12612.7900,12721.7200
2023-07-03,12721.7200,12848.3000,12721.7200,12823.7600
2023-07-04,12823.7600,12870.2500,12793.6900,12862.1000
2023-07-05,12862.1000,12878.0800,12753.2100,12797.4700
2023-07-06,12797.4700,12797.4700,12502.0800,12502.0800
2023-07-07,12502.0800,12551.3700,12427.2700,12460.0300
2023-07-10,12460.0300,12593.5200,12438.2100,12445.6300
2023-07-11,12445.6300,12659.8500,12445.6300,12659.1500
2023-07-12,12659.1500,12708.5300,12599.2400,12708.1900
2023-07-13,12708.1900,12905.4500,12708.1900,12791.9700
2023-07-14,12791.9700,12951.0000,12791.9700,12951.0000
2023-07-17,12951.0000,12975.3900,12898.1000,12974.7200
2023-07-18,12974.7200,12997.9300,12861.6100,12887.5800
2023-07-19,12887.5800,12971.9400,12794.1900,12832.2600
2023-07-20,12832.2600,12879.5700,12801.1900,12822.1700
2023-07-21,12822.1700,12822.1700,12507.9700,12605.3700
2023-07-24,12605.3700,12672.4800,12554.8400,12603.0000
2023-07-25,12603.0000,12805.7000,12603.0000,12773.5700
2023-07-26,12773.5700,12813.5500,12711.7300,12754.7400
2023-07-27,12754.7400,12821.6600,12754.7400,12794.0200
2023-07-28,12794.0200,12874.9800,12777.1400,12809.4500
2023-07-31,12809.4500,12956.7700,12691.0500,12747.0000
2023-08-01,12747.0000,12844.9800,12745.3100,12844.9200
2023-08-02,12844.9200,12849.8700,12608.2600,12659.3900
2023-08-04,12659.3900,12659.3900,12524.4500,12569.1800
2023-08-07,12569.1800,12693.8800,12569.1800,12649.0600
2023-08-08,12649.0600,12658.2600,12507.7500,12541.1000
2023-08-09,12541.1000,12613.1100,12496.8500,12572.1400
2023-08-10,12572.1400,12572.1400,12450.5600,12470.8200
2023-08-11,12470.8200,12574.4900,12413.1000,12413.1000
2023-08-14,12413.1000,12420.4600,12234.5900,12300.6500
2023-08-15,12300.6500,12379.9200,12277.0000,12288.8200
2023-08-16,12288.8200,12288.8200,12174.7100,12269.2900
2023-08-17,12269.2900,12314.6900,12118.1900,12279.1000
2023-08-18,12279.1000,12320.6800,12188.5300,12198.4900
2023-08-21,12198.4900,12266.9600,12132.6500,12170.4700
2023-08-22,12170.4700,12279.3500,12170.4700,12222.2500
2023-08-23,12222.2500,12360.5400,12221.2900,12348.3000
2023-08-24,12348.3000,12561.6500,12348.3000,12552.5300
2023-08-25,12552.5300,12552.5300,12286.8800,12286.8800
2023-08-28,12286.8800,12414.9400,12286.8800,12354.2500
2023-08-29,12354.2500,12431.3900,12313.0300,12421.5700
2023-08-30,12421.5700,12549.9400,12421.5700,12479.2300
2023-08-31,12479.2300,12482.7200,12370.2200,12370.2200
